municipio,data,dose,n
ADAMANTINA,2021-01-21,1a Dose,88
ADAMANTINA,2021-01-22,1a Dose,111
ADAMANTINA,2021-01-25,1a Dose,100
ADAMANTINA,2021-01-26,1a Dose,55
ADAMANTINA,2021-01-27,1a Dose,127
ADAMANTINA,2021-01-28,1a Dose,94
ADAMANTINA,2021-01-29,1a Dose,92
ADAMANTINA,2021-02-01,1a Dose,348
ADAMANTINA,2021-02-02,1a Dose,158
ADAMANTINA,2021-02-03,1a Dose,137
ADAMANTINA,2021-02-04,1a Dose,284
ADAMANTINA,2021-02-08,1a Dose,85
ADAMANTINA,2021-02-09,1a Dose,13
ADAMANTINA,2021-02-10,1a Dose,22
ADAMANTINA,2021-02-11,1a Dose,50
ADAMANTINA,2021-02-11,2a Dose,66
ADAMANTINA,2021-02-12,1a Dose,133
ADAMANTINA,2021-02-12,2a Dose,104
ADAMANTINA,2021-02-17,1a Dose,98
ADAMANTINA,2021-02-17,2a Dose,119
ADAMANTINA,2021-02-18,1a Dose,66
ADAMANTINA,2021-02-18,2a Dose,223
ADAMANTINA,2021-02-19,1a Dose,33
ADAMANTINA,2021-02-19,2a Dose,63
ADAMANTINA,2021-02-22,1a Dose,15
ADAMANTINA,2021-02-22,2a Dose,23
ADAMANTINA,2021-02-23,1a Dose,5
ADAMANTINA,2021-02-23,2a Dose,5
ADAMANTINA,2021-02-24,1a Dose,9
ADAMANTINA,2021-02-24,2a Dose,126
ADAMANTINA,2021-02-25,1a Dose,3
ADAMANTINA,2021-02-26,1a Dose,1
ADAMANTINA,2021-02-26,2a Dose,1
ADAMANTINA,2021-03-01,1a Dose,456
ADAMANTINA,2021-03-01,2a Dose,271
ADAMANTINA,2021-03-02,1a Dose,163
ADAMANTINA,2021-03-02,2a Dose,77
ADAMANTINA,2021-03-03,1a Dose,233
ADAMANTINA,2021-03-03,2a Dose,37
ADAMANTINA,2021-03-04,1a Dose,19
ADAMANTINA,2021-03-04,2a Dose,80
ADAMANTINA,2021-03-05,1a Dose,23
ADAMANTINA,2021-03-05,2a Dose,139
ADAMANTINA,2021-03-06,1a Dose,335
ADAMANTINA,2021-03-08,1a Dose,14
ADAMANTINA,2021-03-08,2a Dose,8
ADAMANTINA,2021-03-09,1a Dose,29
ADAMANTINA,2021-03-09,2a Dose,5
ADAMANTINA,2021-03-10,1a Dose,22
ADAMANTINA,2021-03-10,2a Dose,98
ADAMANTINA,2021-03-11,1a Dose,25
ADAMANTINA,2021-03-11,2a Dose,58
ADAMANTINA,2021-03-12,1a Dose,33
ADAMANTINA,2021-03-12,2a Dose,26
ADAMANTINA,2021-03-13,1a Dose,380
ADAMANTINA,2021-03-15,1a Dose,32
ADAMANTINA,2021-03-15,2a Dose,18
ADAMANTINA,2021-03-16,1a Dose,33
ADAMANTINA,2021-03-16,2a Dose,5
ADAMANTINA,2021-03-17,1a Dose,14
ADAMANTINA,2021-03-17,2a Dose,7
ADAMANTINA,2021-03-18,1a Dose,9
ADAMANTINA,2021-03-18,2a Dose,5
ADAMANTINA,2021-03-19,1a Dose,24
ADAMANTINA,2021-03-19,2a Dose,4
ADAMANTINA,2021-03-20,1a Dose,723
ADAMANTINA,2021-03-22,1a Dose,48
ADAMANTINA,2021-03-22,2a Dose,16
ADAMANTINA,2021-03-23,1a Dose,19
ADAMANTINA,2021-03-23,2a Dose,2
ADAMANTINA,2021-03-24,1a Dose,12
ADAMANTINA,2021-03-24,2a Dose,193
ADAMANTINA,2021-03-25,1a Dose,1
ADAMANTINA,2021-03-25,2a Dose,1
ADAMANTINA,2021-03-26,1a Dose,23
ADAMANTINA,2021-03-26,2a Dose,6
ADAMANTINA,2021-03-27,1a Dose,462
ADAMANTINA,2021-03-27,2a Dose,5
ADAMANTINA,2021-03-29,1a Dose,40
ADAMANTINA,2021-03-29,2a Dose,289
ADAMANTINA,2021-03-30,1a Dose,29
ADAMANTINA,2021-03-30,2a Dose,52
ADAMANTINA,2021-03-31,1a Dose,7
ADAMANTINA,2021-03-31,2a Dose,23
ADAMANTINA,2021-04-01,1a Dose,12
ADAMANTINA,2021-04-01,2a Dose,25
ADAMANTINA,2021-04-03,1a Dose,332
ADAMANTINA,2021-04-03,2a Dose,5
ADAMANTINA,2021-04-05,1a Dose,27
ADAMANTINA,2021-04-05,2a Dose,19
ADAMANTINA,2021-04-06,1a Dose,11
ADAMANTINA,2021-04-06,2a Dose,15
ADAMANTINA,2021-04-07,1a Dose,9
ADAMANTINA,2021-04-07,2a Dose,2
ADAMANTINA,2021-04-08,1a Dose,8
ADAMANTINA,2021-04-08,2a Dose,1
ADAMANTINA,2021-04-09,1a Dose,5
ADAMANTINA,2021-04-09,2a Dose,1
ADAMANTINA,2021-04-10,1a Dose,50
ADAMANTINA,2021-04-10,2a Dose,1050
ADAMANTINA,2021-04-12,1a Dose,21
ADAMANTINA,2021-04-12,2a Dose,3
ADAMANTINA,2021-04-13,1a Dose,28
ADAMANTINA,2021-04-13,2a Dose,21
ADAMANTINA,2021-04-14,1a Dose,277
ADAMANTINA,2021-04-15,1a Dose,16
ADAMANTINA,2021-04-16,1a Dose,23
ADAMANTINA,2021-04-16,2a Dose,2
ADAMANTINA,2021-04-17,1a Dose,6
ADAMANTINA,2021-04-17,2a Dose,802
ADAMANTINA,2021-04-19,1a Dose,12
ADAMANTINA,2021-04-19,2a Dose,55
ADAMANTINA,2021-04-20,1a Dose,622
ADAMANTINA,2021-04-20,2a Dose,23
ADAMANTINA,2021-04-22,1a Dose,36
ADAMANTINA,2021-04-22,2a Dose,14
ADAMANTINA,2021-04-23,1a Dose,167
ADAMANTINA,2021-04-23,2a Dose,9
ADAMANTINA,2021-04-24,2a Dose,1
ADAMANTINA,2021-04-26,1a Dose,8
ADAMANTINA,2021-04-26,2a Dose,6
ADAMANTINA,2021-04-27,1a Dose,11
ADAMANTINA,2021-04-27,2a Dose,2
ADAMANTINA,2021-04-28,1a Dose,1
ADAMANTINA,2021-04-28,2a Dose,63
ADAMANTINA,2021-04-29,1a Dose,29
ADAMANTINA,2021-04-29,2a Dose,14
ADAMANTINA,2021-04-30,1a Dose,5
ADAMANTINA,2021-04-30,2a Dose,1
ADAMANTINA,2021-05-01,1a Dose,5
ADAMANTINA,2021-05-01,2a Dose,27
ADAMANTINA,2021-05-03,1a Dose,5
ADAMANTINA,2021-05-03,2a Dose,4
ADAMANTINA,2021-05-04,1a Dose,18
ADAMANTINA,2021-05-04,2a Dose,17
ADAMANTINA,2021-05-05,1a Dose,24
ADAMANTINA,2021-05-05,2a Dose,13
ADAMANTINA,2021-05-06,1a Dose,29
ADAMANTINA,2021-05-06,2a Dose,2
ADAMANTINA,2021-05-07,1a Dose,41
ADAMANTINA,2021-05-07,2a Dose,3
ADAMANTINA,2021-05-08,1a Dose,351
ADAMANTINA,2021-05-08,2a Dose,18
ADAMANTINA,2021-05-10,1a Dose,126
ADAMANTINA,2021-05-10,2a Dose,8
ADAMANTINA,2021-05-11,1a Dose,50
ADAMANTINA,2021-05-11,2a Dose,63
ADAMANTINA,2021-05-12,1a Dose,196
ADAMANTINA,2021-05-12,2a Dose,10
ADAMANTINA,2021-05-13,1a Dose,108
ADAMANTINA,2021-05-13,2a Dose,9
ADAMANTINA,2021-05-14,1a Dose,190
ADAMANTINA,2021-05-17,1a Dose,43
ADAMANTINA,2021-05-18,1a Dose,63
ADAMANTINA,2021-05-18,2a Dose,193
ADAMANTINA,2021-05-19,1a Dose,86
ADAMANTINA,2021-05-19,2a Dose,37
ADAMANTINA,2021-05-20,1a Dose,49
ADAMANTINA,2021-05-20,2a Dose,10
ADAMANTINA,2021-05-21,1a Dose,53
ADAMANTINA,2021-05-21,2a Dose,11
ADAMANTINA,2021-05-24,1a Dose,112
ADAMANTINA,2021-05-24,2a Dose,39
ADAMANTINA,2021-05-25,1a Dose,78
ADAMANTINA,2021-05-25,2a Dose,27
ADAMANTINA,2021-05-26,1a Dose,23
ADAMANTINA,2021-05-26,2a Dose,15
ADOLFO,2021-01-25,1a Dose,8
ADOLFO,2021-01-26,1a Dose,52
ADOLFO,2021-01-27,1a Dose,21
ADOLFO,2021-01-28,1a Dose,16
ADOLFO,2021-01-29,1a Dose,9
ADOLFO,2021-02-02,1a Dose,12
ADOLFO,2021-02-03,1a Dose,11
ADOLFO,2021-02-08,1a Dose,9
ADOLFO,2021-02-09,1a Dose,9
ADOLFO,2021-02-10,1a Dose,1
ADOLFO,2021-02-10,2a Dose,39
ADOLFO,2021-02-11,1a Dose,1
ADOLFO,2021-02-11,2a Dose,8
ADOLFO,2021-02-12,1a Dose,9
ADOLFO,2021-02-12,2a Dose,5
ADOLFO,2021-02-15,1a Dose,14
ADOLFO,2021-02-15,2a Dose,12
ADOLFO,2021-02-16,1a Dose,7
ADOLFO,2021-02-16,2a Dose,2
ADOLFO,2021-02-17,1a Dose,10
ADOLFO,2021-02-18,1a Dose,2
ADOLFO,2021-02-18,2a Dose,1
ADOLFO,2021-02-24,2a Dose,1
ADOLFO,2021-03-01,1a Dose,4
ADOLFO,2021-03-01,2a Dose,15
ADOLFO,2021-03-02,1a Dose,18
ADOLFO,2021-03-02,2a Dose,4
ADOLFO,2021-03-03,1a Dose,4
ADOLFO,2021-03-03,2a Dose,1
ADOLFO,2021-03-04,1a Dose,17
ADOLFO,2021-03-05,1a Dose,20
ADOLFO,2021-03-05,2a Dose,11
ADOLFO,2021-03-08,1a Dose,5
ADOLFO,2021-03-08,2a Dose,29
ADOLFO,2021-03-09,1a Dose,23
ADOLFO,2021-03-09,2a Dose,1
ADOLFO,2021-03-10,1a Dose,22
ADOLFO,2021-03-15,2a Dose,3
ADOLFO,2021-03-16,2a Dose,2
ADOLFO,2021-03-17,1a Dose,4
ADOLFO,2021-03-17,2a Dose,17
ADOLFO,2021-03-18,1a Dose,24
ADOLFO,2021-03-18,2a Dose,4
ADOLFO,2021-03-19,1a Dose,20
ADOLFO,2021-03-19,2a Dose,7
ADOLFO,2021-03-22,1a Dose,21
ADOLFO,2021-03-23,1a Dose,14
ADOLFO,2021-03-23,2a Dose,1
ADOLFO,2021-03-24,1a Dose,31
ADOLFO,2021-03-25,1a Dose,11
ADOLFO,2021-03-26,1a Dose,49
ADOLFO,2021-03-28,1a Dose,2
ADOLFO,2021-03-29,1a Dose,45
ADOLFO,2021-03-30,1a Dose,10
ADOLFO,2021-03-30,2a Dose,22
ADOLFO,2021-03-31,1a Dose,1
ADOLFO,2021-04-01,1a Dose,8
ADOLFO,2021-04-01,2a Dose,2
ADOLFO,2021-04-05,1a Dose,1
ADOLFO,2021-04-05,2a Dose,3
ADOLFO,2021-04-06,1a Dose,11
ADOLFO,2021-04-06,2a Dose,59
ADOLFO,2021-04-07,1a Dose,11
ADOLFO,2021-04-07,2a Dose,5
ADOLFO,2021-04-10,1a Dose,10
ADOLFO,2021-04-10,2a Dose,22
ADOLFO,2021-04-12,1a Dose,40
ADOLFO,2021-04-12,2a Dose,14
ADOLFO,2021-04-13,1a Dose,17
ADOLFO,2021-04-14,1a Dose,16
ADOLFO,2021-04-16,1a Dose,1
ADOLFO,2021-04-16,2a Dose,73
ADOLFO,2021-04-19,1a Dose,11
ADOLFO,2021-04-19,2a Dose,33
ADOLFO,2021-04-20,1a Dose,29
ADOLFO,2021-04-20,2a Dose,31
ADOLFO,2021-04-22,1a Dose,12
ADOLFO,2021-04-22,2a Dose,11
ADOLFO,2021-04-23,1a Dose,4
ADOLFO,2021-04-23,2a Dose,34
ADOLFO,2021-04-26,1a Dose,14
ADOLFO,2021-04-26,2a Dose,3
ADOLFO,2021-04-27,1a Dose,14
ADOLFO,2021-04-27,2a Dose,17
ADOLFO,2021-04-28,1a Dose,4
ADOLFO,2021-04-28,2a Dose,1
ADOLFO,2021-04-29,1a Dose,2
ADOLFO,2021-05-03,1a Dose,6
ADOLFO,2021-05-04,1a Dose,3
ADOLFO,2021-05-04,2a Dose,7
ADOLFO,2021-05-05,1a Dose,1
ADOLFO,2021-05-05,2a Dose,2
ADOLFO,2021-05-07,1a Dose,49
ADOLFO,2021-05-08,1a Dose,20
ADOLFO,2021-05-10,1a Dose,4
ADOLFO,2021-05-10,2a Dose,18
ADOLFO,2021-05-11,1a Dose,8
ADOLFO,2021-05-11,2a Dose,1
ADOLFO,2021-05-12,1a Dose,9
ADOLFO,2021-05-12,2a Dose,1
ADOLFO,2021-05-13,1a Dose,12
ADOLFO,2021-05-14,1a Dose,20
ADOLFO,2021-05-17,1a Dose,10
ADOLFO,2021-05-18,1a Dose,5
ADOLFO,2021-05-18,2a Dose,21
ADOLFO,2021-05-19,1a Dose,23
ADOLFO,2021-05-19,2a Dose,4
ADOLFO,2021-05-20,1a Dose,15
ADOLFO,2021-05-20,2a Dose,1
ADOLFO,2021-05-21,1a Dose,20
ADOLFO,2021-05-21,2a Dose,17
ADOLFO,2021-05-24,1a Dose,14
ADOLFO,2021-05-25,1a Dose,18
ADOLFO,2021-05-26,1a Dose,3
AGUAI,2021-01-21,1a Dose,1
AGUAI,2021-01-22,1a Dose,72
AGUAI,2021-01-24,1a Dose,18
AGUAI,2021-01-25,1a Dose,77
AGUAI,2021-01-26,1a Dose,46
AGUAI,2021-01-27,1a Dose,76
AGUAI,2021-01-28,1a Dose,27
AGUAI,2021-01-29,1a Dose,1
AGUAI,2021-02-01,1a Dose,68
AGUAI,2021-02-02,1a Dose,1
AGUAI,2021-02-03,1a Dose,1
AGUAI,2021-02-08,1a Dose,109
AGUAI,2021-02-09,1a Dose,69
AGUAI,2021-02-10,1a Dose,34
AGUAI,2021-02-11,1a Dose,10
AGUAI,2021-02-11,2a Dose,14
AGUAI,2021-02-12,1a Dose,9
AGUAI,2021-02-12,2a Dose,66
AGUAI,2021-02-15,1a Dose,96
AGUAI,2021-02-15,2a Dose,72
AGUAI,2021-02-16,1a Dose,94
AGUAI,2021-02-16,2a Dose,81
AGUAI,2021-02-17,1a Dose,13
AGUAI,2021-02-17,2a Dose,14
AGUAI,2021-02-18,1a Dose,3
AGUAI,2021-02-18,2a Dose,7
AGUAI,2021-02-19,1a Dose,17
AGUAI,2021-02-19,2a Dose,1
AGUAI,2021-02-22,1a Dose,11
AGUAI,2021-02-22,2a Dose,2
AGUAI,2021-02-23,1a Dose,4
AGUAI,2021-02-23,2a Dose,3
AGUAI,2021-02-24,1a Dose,4
AGUAI,2021-02-24,2a Dose,1
AGUAI,2021-02-25,1a Dose,1
AGUAI,2021-02-26,1a Dose,4
AGUAI,2021-02-26,2a Dose,1
AGUAI,2021-02-27,1a Dose,192
AGUAI,2021-02-27,2a Dose,1
AGUAI,2021-03-01,1a Dose,50
AGUAI,2021-03-01,2a Dose,12
AGUAI,2021-03-02,1a Dose,49
AGUAI,2021-03-02,2a Dose,58
AGUAI,2021-03-03,1a Dose,22
AGUAI,2021-03-03,2a Dose,24
AGUAI,2021-03-04,1a Dose,11
AGUAI,2021-03-04,2a Dose,15
AGUAI,2021-03-05,1a Dose,4
AGUAI,2021-03-05,2a Dose,3
AGUAI,2021-03-06,1a Dose,252
AGUAI,2021-03-06,2a Dose,11
AGUAI,2021-03-08,2a Dose,26
AGUAI,2021-03-09,1a Dose,2
AGUAI,2021-03-09,2a Dose,43
AGUAI,2021-03-10,1a Dose,19
AGUAI,2021-03-10,2a Dose,54
AGUAI,2021-03-11,1a Dose,29
AGUAI,2021-03-11,2a Dose,70
AGUAI,2021-03-12,1a Dose,178
AGUAI,2021-03-12,2a Dose,21
AGUAI,2021-03-15,1a Dose,35
AGUAI,2021-03-15,2a Dose,8
AGUAI,2021-03-16,1a Dose,27
AGUAI,2021-03-16,2a Dose,7
AGUAI,2021-03-17,1a Dose,48
AGUAI,2021-03-17,2a Dose,9
AGUAI,2021-03-18,1a Dose,350
AGUAI,2021-03-18,2a Dose,4
AGUAI,2021-03-19,1a Dose,121
AGUAI,2021-03-19,2a Dose,15
AGUAI,2021-03-22,1a Dose,53
AGUAI,2021-03-22,2a Dose,219
AGUAI,2021-03-23,1a Dose,20
AGUAI,2021-03-23,2a Dose,10
AGUAI,2021-03-24,1a Dose,12
AGUAI,2021-03-24,2a Dose,7
AGUAI,2021-03-25,1a Dose,13
AGUAI,2021-03-25,2a Dose,2
AGUAI,2021-03-26,1a Dose,436
AGUAI,2021-03-26,2a Dose,25
AGUAI,2021-03-29,1a Dose,47
AGUAI,2021-03-29,2a Dose,7
AGUAI,2021-03-30,1a Dose,36
AGUAI,2021-03-30,2a Dose,16
AGUAI,2021-03-31,1a Dose,23
AGUAI,2021-03-31,2a Dose,16
AGUAI,2021-04-01,1a Dose,378
AGUAI,2021-04-01,2a Dose,143
AGUAI,2021-04-05,1a Dose,61
AGUAI,2021-04-05,2a Dose,31
AGUAI,2021-04-06,1a Dose,13
AGUAI,2021-04-06,2a Dose,27
AGUAI,2021-04-07,1a Dose,18
AGUAI,2021-04-07,2a Dose,91
AGUAI,2021-04-08,1a Dose,13
AGUAI,2021-04-08,2a Dose,246
AGUAI,2021-04-09,1a Dose,20
AGUAI,2021-04-09,2a Dose,117
AGUAI,2021-04-12,1a Dose,36
AGUAI,2021-04-12,2a Dose,31
AGUAI,2021-04-13,1a Dose,25
AGUAI,2021-04-13,2a Dose,22
AGUAI,2021-04-14,1a Dose,49
AGUAI,2021-04-14,2a Dose,18
AGUAI,2021-04-15,1a Dose,70
AGUAI,2021-04-15,2a Dose,21
AGUAI,2021-04-16,1a Dose,25
AGUAI,2021-04-16,2a Dose,472
AGUAI,2021-04-19,1a Dose,14
AGUAI,2021-04-19,2a Dose,39
AGUAI,2021-04-20,1a Dose,452
AGUAI,2021-04-20,2a Dose,52
AGUAI,2021-04-22,1a Dose,59
AGUAI,2021-04-22,2a Dose,183
AGUAI,2021-04-23,1a Dose,116
AGUAI,2021-04-23,2a Dose,35
AGUAI,2021-04-26,1a Dose,13
AGUAI,2021-04-26,2a Dose,38
AGUAI,2021-04-27,1a Dose,8
AGUAI,2021-04-27,2a Dose,8
AGUAI,2021-04-28,1a Dose,9
AGUAI,2021-04-28,2a Dose,11
AGUAI,2021-04-29,1a Dose,29
AGUAI,2021-04-29,2a Dose,5
AGUAI,2021-04-30,1a Dose,7
AGUAI,2021-04-30,2a Dose,5
AGUAI,2021-05-03,1a Dose,4
AGUAI,2021-05-03,2a Dose,12
AGUAI,2021-05-04,1a Dose,26
AGUAI,2021-05-04,2a Dose,10
AGUAI,2021-05-05,1a Dose,6
AGUAI,2021-05-05,2a Dose,2
AGUAI,2021-05-06,1a Dose,78
AGUAI,2021-05-06,2a Dose,8
AGUAI,2021-05-07,1a Dose,93
AGUAI,2021-05-07,2a Dose,199
AGUAI,2021-05-10,1a Dose,140
AGUAI,2021-05-10,2a Dose,48
AGUAI,2021-05-11,1a Dose,77
AGUAI,2021-05-11,2a Dose,27
AGUAI,2021-05-12,1a Dose,47
AGUAI,2021-05-13,1a Dose,88
AGUAI,2021-05-13,2a Dose,8
AGUAI,2021-05-14,1a Dose,152
AGUAI,2021-05-14,2a Dose,9
AGUAI,2021-05-17,1a Dose,53
AGUAI,2021-05-18,1a Dose,78
AGUAI,2021-05-18,2a Dose,11
AGUAI,2021-05-19,1a Dose,83
AGUAI,2021-05-19,2a Dose,65
AGUAI,2021-05-20,1a Dose,65
AGUAI,2021-05-20,2a Dose,118
AGUAI,2021-05-21,1a Dose,88
AGUAI,2021-05-21,2a Dose,94
AGUAI,2021-05-22,2a Dose,11
AGUAI,2021-05-24,1a Dose,169
AGUAI,2021-05-24,2a Dose,143
AGUAI,2021-05-25,1a Dose,121
AGUAI,2021-05-25,2a Dose,43
AGUAI,2021-05-26,1a Dose,22
AGUAI,2021-05-26,2a Dose,5
AGUAS DA PRATA,2021-01-21,1a Dose,45
AGUAS DA PRATA,2021-01-22,1a Dose,15
AGUAS DA PRATA,2021-01-25,1a Dose,7
AGUAS DA PRATA,2021-01-26,1a Dose,1
AGUAS DA PRATA,2021-01-27,1a Dose,12
AGUAS DA PRATA,2021-01-28,1a Dose,50
AGUAS DA PRATA,2021-02-03,1a Dose,128
AGUAS DA PRATA,2021-02-10,1a Dose,56
AGUAS DA PRATA,2021-02-12,1a Dose,21
AGUAS DA PRATA,2021-02-12,2a Dose,46
AGUAS DA PRATA,2021-02-15,1a Dose,9
AGUAS DA PRATA,2021-02-15,2a Dose,12
AGUAS DA PRATA,2021-02-16,2a Dose,2
AGUAS DA PRATA,2021-02-19,2a Dose,2
AGUAS DA PRATA,2021-03-01,1a Dose,78
AGUAS DA PRATA,2021-03-01,2a Dose,1
AGUAS DA PRATA,2021-03-02,1a Dose,10
AGUAS DA PRATA,2021-03-03,1a Dose,11
AGUAS DA PRATA,2021-03-03,2a Dose,120
AGUAS DA PRATA,2021-03-04,1a Dose,21
AGUAS DA PRATA,2021-03-04,2a Dose,5
AGUAS DA PRATA,2021-03-05,1a Dose,73
AGUAS DA PRATA,2021-03-06,1a Dose,4
AGUAS DA PRATA,2021-03-08,2a Dose,12
AGUAS DA PRATA,2021-03-09,1a Dose,39
AGUAS DA PRATA,2021-03-09,2a Dose,15
AGUAS DA PRATA,2021-03-10,1a Dose,5
AGUAS DA PRATA,2021-03-10,2a Dose,46
AGUAS DA PRATA,2021-03-11,1a Dose,124
AGUAS DA PRATA,2021-03-11,2a Dose,1
AGUAS DA PRATA,2021-03-12,1a Dose,1
AGUAS DA PRATA,2021-03-16,1a Dose,36
AGUAS DA PRATA,2021-03-17,1a Dose,53
AGUAS DA PRATA,2021-03-17,2a Dose,1
AGUAS DA PRATA,2021-03-18,1a Dose,11
AGUAS DA PRATA,2021-03-19,1a Dose,142
AGUAS DA PRATA,2021-03-20,1a Dose,4
AGUAS DA PRATA,2021-03-23,1a Dose,36
AGUAS DA PRATA,2021-03-23,2a Dose,3
AGUAS DA PRATA,2021-03-24,1a Dose,11
AGUAS DA PRATA,2021-03-25,1a Dose,1
AGUAS DA PRATA,2021-03-25,2a Dose,1
AGUAS DA PRATA,2021-03-27,1a Dose,134
AGUAS DA PRATA,2021-03-27,2a Dose,1
AGUAS DA PRATA,2021-03-29,1a Dose,21
AGUAS DA PRATA,2021-03-31,1a Dose,63
AGUAS DA PRATA,2021-03-31,2a Dose,7
AGUAS DA PRATA,2021-04-01,1a Dose,7
AGUAS DA PRATA,2021-04-01,2a Dose,9
AGUAS DA PRATA,2021-04-05,1a Dose,60
AGUAS DA PRATA,2021-04-05,2a Dose,12
AGUAS DA PRATA,2021-04-06,1a Dose,31
AGUAS DA PRATA,2021-04-06,2a Dose,46
AGUAS DA PRATA,2021-04-07,1a Dose,1
AGUAS DA PRATA,2021-04-07,2a Dose,8
AGUAS DA PRATA,2021-04-08,1a Dose,8
AGUAS DA PRATA,2021-04-08,2a Dose,99
AGUAS DA PRATA,2021-04-09,1a Dose,2
AGUAS DA PRATA,2021-04-12,1a Dose,46
AGUAS DA PRATA,2021-04-12,2a Dose,3
AGUAS DA PRATA,2021-04-13,1a Dose,19
AGUAS DA PRATA,2021-04-14,1a Dose,26
AGUAS DA PRATA,2021-04-14,2a Dose,72
AGUAS DA PRATA,2021-04-15,1a Dose,1
AGUAS DA PRATA,2021-04-15,2a Dose,14
AGUAS DA PRATA,2021-04-16,2a Dose,101
AGUAS DA PRATA,2021-04-19,1a Dose,1
AGUAS DA PRATA,2021-04-19,2a Dose,84
AGUAS DA PRATA,2021-04-20,1a Dose,124
AGUAS DA PRATA,2021-04-20,2a Dose,26
AGUAS DA PRATA,2021-04-21,2a Dose,2
AGUAS DA PRATA,2021-04-22,1a Dose,34
AGUAS DA PRATA,2021-04-22,2a Dose,38
AGUAS DA PRATA,2021-04-23,1a Dose,4
AGUAS DA PRATA,2021-04-23,2a Dose,38
AGUAS DA PRATA,2021-04-26,1a Dose,36
AGUAS DA PRATA,2021-04-26,2a Dose,7
AGUAS DA PRATA,2021-04-27,1a Dose,10
AGUAS DA PRATA,2021-04-27,2a Dose,4
AGUAS DA PRATA,2021-04-28,1a Dose,20
AGUAS DA PRATA,2021-04-28,2a Dose,3
AGUAS DA PRATA,2021-04-29,1a Dose,3
AGUAS DA PRATA,2021-04-30,2a Dose,1
AGUAS DA PRATA,2021-05-03,1a Dose,1
AGUAS DA PRATA,2021-05-03,2a Dose,9
AGUAS DA PRATA,2021-05-04,2a Dose,7
AGUAS DA PRATA,2021-05-05,1a Dose,16
AGUAS DA PRATA,2021-05-05,2a Dose,1
AGUAS DA PRATA,2021-05-06,1a Dose,18
AGUAS DA PRATA,2021-05-06,2a Dose,4
AGUAS DA PRATA,2021-05-07,1a Dose,7
AGUAS DA PRATA,2021-05-10,1a Dose,76
AGUAS DA PRATA,2021-05-10,2a Dose,104
AGUAS DA PRATA,2021-05-11,1a Dose,59
AGUAS DA PRATA,2021-05-12,1a Dose,66
AGUAS DA PRATA,2021-05-13,1a Dose,11
AGUAS DA PRATA,2021-05-14,1a Dose,19
AGUAS DA PRATA,2021-05-17,1a Dose,42
AGUAS DA PRATA,2021-05-17,2a Dose,4
AGUAS DA PRATA,2021-05-18,1a Dose,21
AGUAS DA PRATA,2021-05-18,2a Dose,2
AGUAS DA PRATA,2021-05-19,1a Dose,35
AGUAS DA PRATA,2021-05-20,1a Dose,23
AGUAS DA PRATA,2021-05-20,2a Dose,9
AGUAS DA PRATA,2021-05-21,1a Dose,11
AGUAS DA PRATA,2021-05-21,2a Dose,5
AGUAS DA PRATA,2021-05-24,1a Dose,42
AGUAS DA PRATA,2021-05-24,2a Dose,36
AGUAS DA PRATA,2021-05-25,1a Dose,15
AGUAS DA PRATA,2021-05-26,1a Dose,9
AGUAS DA PRATA,2021-05-26,2a Dose,11
AGUAS DE LINDOIA,2021-01-20,1a Dose,1
AGUAS DE LINDOIA,2021-01-21,1a Dose,93
AGUAS DE LINDOIA,2021-01-22,1a Dose,44
AGUAS DE LINDOIA,2021-01-25,1a Dose,19
AGUAS DE LINDOIA,2021-01-26,1a Dose,4
AGUAS DE LINDOIA,2021-01-27,1a Dose,87
AGUAS DE LINDOIA,2021-01-28,1a Dose,2
AGUAS DE LINDOIA,2021-01-30,1a Dose,11
AGUAS DE LINDOIA,2021-02-01,1a Dose,33
AGUAS DE LINDOIA,2021-02-02,1a Dose,27
AGUAS DE LINDOIA,2021-02-03,1a Dose,24
AGUAS DE LINDOIA,2021-02-04,1a Dose,33
AGUAS DE LINDOIA,2021-02-05,1a Dose,25
AGUAS DE LINDOIA,2021-02-05,2a Dose,2
AGUAS DE LINDOIA,2021-02-06,1a Dose,89
AGUAS DE LINDOIA,2021-02-06,2a Dose,2
AGUAS DE LINDOIA,2021-02-09,1a Dose,16
AGUAS DE LINDOIA,2021-02-11,1a Dose,5
AGUAS DE LINDOIA,2021-02-11,2a Dose,98
AGUAS DE LINDOIA,2021-02-12,1a Dose,5
AGUAS DE LINDOIA,2021-02-12,2a Dose,26
AGUAS DE LINDOIA,2021-02-13,1a Dose,122
AGUAS DE LINDOIA,2021-02-13,2a Dose,14
AGUAS DE LINDOIA,2021-02-15,1a Dose,1
AGUAS DE LINDOIA,2021-02-15,2a Dose,8
AGUAS DE LINDOIA,2021-02-16,1a Dose,23
AGUAS DE LINDOIA,2021-02-16,2a Dose,3
AGUAS DE LINDOIA,2021-02-17,1a Dose,14
AGUAS DE LINDOIA,2021-02-17,2a Dose,1
AGUAS DE LINDOIA,2021-02-18,1a Dose,3
AGUAS DE LINDOIA,2021-02-18,2a Dose,3
AGUAS DE LINDOIA,2021-02-19,1a Dose,8
AGUAS DE LINDOIA,2021-02-19,2a Dose,1
AGUAS DE LINDOIA,2021-02-21,1a Dose,2
AGUAS DE LINDOIA,2021-02-22,1a Dose,1
AGUAS DE LINDOIA,2021-02-23,1a Dose,2
AGUAS DE LINDOIA,2021-02-25,1a Dose,1
