state,place_type,city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,new_confirmed,new_deaths,id_municipio,municipio,latitude,longitude
SP,city,Santa Branca,3546009,2021-05-30,202122,14857,14788,True,False,829,5579.86134,2021-05-30,0.029,24,422,27,1,5248,Santa Branca,-23.393311,-45.887521
SP,city,Santa Cruz da Conceição,3546207,2021-05-30,202122,4544,4503,True,False,508,11179.57746,2021-05-30,0.0157,8,401,6,0,5250,Santa Cruz da Conceição,-22.140542,-47.451196
SP,city,Santa Cruz da Esperança,3546256,2021-05-30,202122,2153,2139,True,False,163,7570.8314,2021-05-30,0.0184,3,389,1,0,5251,Santa Cruz da Esperança,-21.295065,-47.430381
SP,city,Santa Cruz das Palmeiras,3546306,2021-05-30,202122,34737,34361,True,False,3308,9522.98702,2021-05-30,0.0287,95,391,27,0,5252,Santa Cruz das Palmeiras,-21.823475,-47.248023
SP,city,Santa Cruz do Rio Pardo,3546405,2021-05-30,202122,47943,47673,True,False,4224,8810.46242,2021-05-30,0.0194,82,420,55,1,5253,Santa Cruz do Rio Pardo,-22.89875,-49.635444
SP,city,Votuporanga,3557105,2021-05-30,202122,95338,94547,True,False,11680,12251.14855,2021-05-30,0.0279,326,426,57,2,5375,Votuporanga,-20.423659,-49.978112
SP,city,Santa Fé do Sul,3546603,2021-05-30,202122,32563,32322,True,False,3422,10508.85975,2021-05-30,0.0245,84,399,28,0,5255,Santa Fé do Sul,-20.208252,-50.931958
SP,city,Santa Gertrudes,3546702,2021-05-30,202122,27381,26898,True,False,2931,10704.50312,2021-05-30,0.0177,52,410,53,3,5256,Santa Gertrudes,-22.457229,-47.52716
SP,city,Santa Isabel,3546801,2021-05-30,202122,57966,57386,True,False,5174,8925.92209,2021-05-30,0.0402,208,426,2,0,5257,Santa Isabel,-23.317194,-46.223668
SP,city,Santa Lúcia,3546900,2021-05-30,202122,8854,8817,True,False,564,6370.00226,2021-05-30,0.023,13,415,1,0,5258,Santa Lúcia,-21.684982,-48.088469
SP,city,Santa Maria da Serra,3547007,2021-05-30,202122,6236,6173,True,False,454,7280.30789,2021-05-30,0.0066,3,396,25,0,5259,Santa Maria da Serra,-22.566088,-48.159288
SP,city,Santa Mercedes,3547106,2021-05-30,202122,2943,2939,True,False,138,4689.0927600000005,2021-05-30,0.029,4,323,2,0,5260,Santa Mercedes,-21.349521,-51.756353
SP,city,Santa Rita do Passa Quatro,3547502,2021-05-30,202122,27600,27557,True,False,1285,4655.7971,2021-05-30,0.021,27,403,4,0,5264,Santa Rita do Passa Quatro,-21.708323,-47.478
